epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.368,0.72163,1.23733,1.5998,1.10277,1,0.96922,0.9891,0.95919,1,0.96922,0.9891,0.83102,0.49993,0.57054,0.86265,0.56411,0.000664311,0.000664311,0.000664311
2,96.1501,0.68965,0.88913,0.87964,1.04262,0.98004,1,0.9948,0.92243,0.98004,1,0.9948,0.81369,0.56702,0.54959,1.15768,0.65317,0.00130462,0.00130462,0.00130462
3,141.462,0.69879,0.8921,0.84066,1.05526,0.99424,0.99,0.99452,0.94757,0.9842,0.98,0.98697,0.86757,0.45194,0.77464,1.07876,0.61001,0.00191854,0.00191854,0.00191854
4,187.134,0.68884,0.78779,0.73115,1.03152,0.97652,0.98,0.98432,0.85885,0.97652,0.98,0.98432,0.77816,0.56537,0.52947,0.9553,0.63725,0.0018812,0.0018812,0.0018812
5,233.227,0.65368,0.78861,0.67834,1.0327,0.99691,0.99,0.99435,0.93717,0.99691,0.99,0.99435,0.87533,0.40134,0.49653,0.92318,0.4934,0.0018416,0.0018416,0.0018416
6,279.045,0.63898,0.78989,0.63048,1.03361,0.99932,0.99,0.9934,0.97647,0.99932,0.99,0.9934,0.94847,0.36333,0.54676,0.60256,0.46762,0.001802,0.001802,0.001802
7,325.221,0.5907,0.76283,0.56647,1.00046,1,0.99677,0.995,0.97405,1,0.99677,0.995,0.97095,0.28144,0.39667,0.61619,0.43958,0.0017624,0.0017624,0.0017624
8,372.216,0.57149,0.75167,0.54324,0.98795,0.99904,0.99,0.99443,0.93338,0.99904,0.99,0.99443,0.92005,0.46254,0.42022,0.65189,0.53321,0.0017228,0.0017228,0.0017228
9,419.064,0.54835,0.72085,0.49863,0.98635,0.99539,1,0.995,0.98084,0.99539,1,0.995,0.93981,0.31594,0.43119,0.66926,0.44124,0.0016832,0.0016832,0.0016832
10,466.121,0.53687,0.71654,0.48493,0.99602,0.99913,0.99,0.98837,0.96432,0.99913,0.99,0.98507,0.91772,0.37457,0.42489,0.4951,0.46655,0.0016436,0.0016436,0.0016436
11,513.182,0.52877,0.73881,0.47613,0.97333,0.99904,1,0.995,0.9215,0.99904,1,0.995,0.907,0.43089,0.67858,0.54054,0.56303,0.001604,0.001604,0.001604
12,560.107,0.55689,0.74333,0.4679,0.98146,0.99938,1,0.995,0.92028,0.99938,1,0.995,0.91315,0.45761,0.37898,0.83659,0.48822,0.0015644,0.0015644,0.0015644
13,607.497,0.53503,0.71297,0.47733,0.97918,0.99836,1,0.995,0.97895,0.99836,1,0.995,0.96934,0.28042,0.37513,0.43903,0.45083,0.0015248,0.0015248,0.0015248
14,654.591,0.52137,0.66768,0.46091,0.98286,0.99867,1,0.995,0.98158,0.99867,1,0.995,0.96345,0.30799,0.3803,0.37216,0.43757,0.0014852,0.0014852,0.0014852
15,701.788,0.5013,0.61321,0.43273,0.96565,1,0.99531,0.995,0.97393,1,0.99531,0.995,0.97527,0.26148,0.31217,0.59709,0.42139,0.0014456,0.0014456,0.0014456
16,748.845,0.50694,0.64118,0.4316,0.96647,0.9893,1,0.9948,0.96352,0.9893,1,0.9948,0.97084,0.30636,0.33855,0.31144,0.47273,0.001406,0.001406,0.001406
17,796.466,0.49007,0.58911,0.45247,0.96462,0.99922,0.99,0.9949,0.96792,0.99922,0.99,0.9949,0.97379,0.2663,0.31288,0.32512,0.42793,0.0013664,0.0013664,0.0013664
18,844.716,0.4958,0.64758,0.42673,0.96583,0.99952,1,0.995,0.9691,0.99952,1,0.995,0.97189,0.2762,0.34764,0.33051,0.43615,0.0013268,0.0013268,0.0013268
19,892.032,0.49231,0.637,0.40008,0.97331,0.99744,0.99,0.99452,0.96896,0.99744,0.99,0.99452,0.97307,0.27062,0.35153,0.31711,0.41147,0.0012872,0.0012872,0.0012872
20,939.516,0.50207,0.60051,0.4038,0.96401,0.99901,1,0.995,0.97264,0.99901,1,0.995,0.98107,0.33642,0.27794,0.44586,0.44558,0.0012476,0.0012476,0.0012476
21,987.219,0.45608,0.57787,0.37771,0.94781,0.99608,1,0.995,0.97765,0.99608,1,0.995,0.98207,0.30025,0.27739,0.55256,0.40544,0.001208,0.001208,0.001208
22,1034.51,0.4696,0.59717,0.38773,0.95334,0.99893,1,0.995,0.95467,0.99893,1,0.995,0.97059,0.31116,0.31785,0.3651,0.40754,0.0011684,0.0011684,0.0011684
23,1082,0.44451,0.55093,0.3618,0.95382,0.99924,0.99,0.9867,0.96324,0.99924,0.99,0.9867,0.96768,0.25349,0.32301,0.33402,0.39872,0.0011288,0.0011288,0.0011288
24,1129.21,0.44434,0.55699,0.36132,0.95034,1,0.99925,0.995,0.97543,1,0.99925,0.995,0.97956,0.26792,0.30593,0.2734,0.42638,0.0010892,0.0010892,0.0010892
25,1176.92,0.43251,0.58863,0.35694,0.94065,0.99955,1,0.995,0.93791,0.99955,1,0.995,0.98356,0.28852,0.29225,0.32167,0.42136,0.0010496,0.0010496,0.0010496
26,1224.55,0.41141,0.52371,0.3451,0.94438,0.99931,1,0.995,0.97826,0.99931,1,0.995,0.98677,0.20047,0.27739,0.27653,0.38043,0.00101,0.00101,0.00101
27,1271.95,0.40728,0.52179,0.33711,0.93197,1,0.99953,0.995,0.98058,1,0.99953,0.995,0.98462,0.28231,0.26634,0.41027,0.4325,0.0009704,0.0009704,0.0009704
28,1319.9,0.41593,0.51668,0.34541,0.93946,0.99834,1,0.995,0.97898,0.99834,1,0.995,0.98238,0.22459,0.30807,0.42854,0.36632,0.0009308,0.0009308,0.0009308
29,1367.5,0.41388,0.48827,0.32628,0.93092,0.99922,0.99,0.9948,0.98414,0.99922,0.99,0.9948,0.9768,0.2273,0.30501,0.28101,0.38697,0.0008912,0.0008912,0.0008912
30,1415.18,0.38819,0.49939,0.34028,0.93235,0.99611,1,0.995,0.97745,0.99611,1,0.995,0.97737,0.23628,0.2817,0.35767,0.38883,0.0008516,0.0008516,0.0008516
31,1462.85,0.40236,0.52098,0.33394,0.93785,0.99866,1,0.995,0.98275,0.99866,1,0.995,0.98327,0.21659,0.29053,0.35725,0.38239,0.000812,0.000812,0.000812
32,1510.85,0.40006,0.50777,0.33071,0.93975,0.99924,1,0.995,0.97896,0.99924,1,0.995,0.98131,0.24138,0.27304,0.26191,0.3935,0.0007724,0.0007724,0.0007724
33,1558.76,0.40242,0.52273,0.33293,0.93205,0.99939,1,0.995,0.97702,0.99939,1,0.995,0.98211,0.27368,0.26956,0.29774,0.40293,0.0007328,0.0007328,0.0007328
34,1606.41,0.39554,0.51877,0.3247,0.93774,0.99856,1,0.995,0.98333,0.99856,1,0.995,0.98042,0.18345,0.28853,0.23145,0.35668,0.0006932,0.0006932,0.0006932
35,1654.3,0.38694,0.48458,0.32238,0.93555,1,0.99594,0.995,0.97911,1,0.99594,0.995,0.98088,0.25361,0.27225,0.44311,0.3972,0.0006536,0.0006536,0.0006536
36,1701.98,0.38985,0.4561,0.31082,0.94252,0.99932,0.99,0.99452,0.98265,0.99932,0.99,0.99452,0.98611,0.25199,0.26125,0.2755,0.40163,0.000614,0.000614,0.000614
37,1749.79,0.36605,0.47394,0.29613,0.92305,0.99925,1,0.995,0.98078,0.99925,1,0.995,0.98221,0.23624,0.26666,0.26461,0.39456,0.0005744,0.0005744,0.0005744
38,1797.57,0.37379,0.48966,0.29521,0.92868,0.99934,1,0.995,0.98272,0.99934,1,0.995,0.98462,0.2267,0.26766,0.25801,0.39037,0.0005348,0.0005348,0.0005348
39,1844.84,0.38549,0.49077,0.29182,0.93455,0.99942,1,0.995,0.98442,0.99942,1,0.995,0.98695,0.19714,0.24745,0.24778,0.372,0.0004952,0.0004952,0.0004952
40,1892.83,0.35468,0.46805,0.28217,0.9216,0.9994,1,0.995,0.98438,0.9994,1,0.995,0.98574,0.20191,0.24764,0.18392,0.36735,0.0004556,0.0004556,0.0004556
41,1997.22,0.36883,0.35335,0.3646,0.94217,0.99936,1,0.995,0.98089,0.99936,1,0.995,0.9864,0.20151,0.27037,0.20534,0.35722,0.000416,0.000416,0.000416
42,2046.59,0.34991,0.35132,0.30979,0.93001,0.99947,1,0.995,0.98191,0.99947,1,0.995,0.98477,0.19738,0.26972,0.20141,0.35824,0.0003764,0.0003764,0.0003764
43,2093.72,0.33338,0.33249,0.28256,0.90557,0.99945,1,0.995,0.93866,0.99945,1,0.995,0.97954,0.21649,0.2583,0.22969,0.37063,0.0003368,0.0003368,0.0003368
44,2141.79,0.33539,0.34306,0.27176,0.92009,0.99946,1,0.995,0.98188,0.99946,1,0.995,0.98693,0.19505,0.25558,0.20249,0.34818,0.0002972,0.0002972,0.0002972
45,2189.48,0.31987,0.32407,0.24964,0.91188,0.99944,1,0.995,0.92349,0.99944,1,0.995,0.98321,0.19249,0.2534,0.2088,0.35686,0.0002576,0.0002576,0.0002576
46,2236.86,0.29594,0.31581,0.23675,0.89987,0.99946,1,0.995,0.98643,0.99946,1,0.995,0.98603,0.18314,0.24945,0.19506,0.34404,0.000218,0.000218,0.000218
47,2284.74,0.29689,0.31829,0.22972,0.8985,0.99946,1,0.995,0.97053,0.99946,1,0.995,0.98686,0.17624,0.24545,0.19024,0.33413,0.0001784,0.0001784,0.0001784
48,2332.54,0.2916,0.3142,0.21313,0.90503,0.99945,1,0.995,0.98526,0.99945,1,0.995,0.98666,0.18307,0.24477,0.17362,0.33638,0.0001388,0.0001388,0.0001388
49,2380.55,0.27687,0.32184,0.21229,0.8973,0.99945,1,0.995,0.96675,0.99945,1,0.995,0.98487,0.17021,0.24582,0.18545,0.33934,9.92e-05,9.92e-05,9.92e-05
50,2428.68,0.28902,0.31967,0.22133,0.9181,0.99947,1,0.995,0.97942,0.99947,1,0.995,0.98702,0.17414,0.24558,0.17372,0.3404,5.96e-05,5.96e-05,5.96e-05
